,z1_AC1(kW),z1_Light(kW),z1_Plug(kW),z2_AC1(kW),z2_AC2(kW),z2_AC3(kW),z2_AC4(kW),z2_AC5(kW),z2_AC6(kW),z2_AC7(kW),z2_AC8(kW),z2_AC9(kW),z2_AC10(kW),z2_AC11(kW),z2_AC12(kW),z2_AC13(kW),z2_AC14(kW),z2_Light(kW),z2_Plug(kW),z3_Light(kW),z3_Plug(kW),z4_AC1(kW),z4_Light(kW),z4_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_S1(degC),z3_S1(RH%),z3_S1(lux),z4_S1(degC),z4_S1(RH%),z4_S1(lux),temperature (°C),humidity (%)
2019-08-06 04:00:00,0.0,0.010499999999999999,0.3375,0.39216666666666666,0.0,0.0,0.0,1.2511666666666668,0.48183333333333334,0.8041666666666667,0.2085,0.8985,0.242,0.0,0.0,0.0,0.0,0.0,0.12,0.5165,0.24,0.0,0.0,0.03,25.507833333333334,65.87733333333333,0.0,26.107666666666667,62.39516666666667,0.0,27.601166666666664,75.8965,5.983333333333333,24.892333333333333,75.17049999999999,0.0,26.0,90.0
2019-08-06 05:00:00,0.0,0.010499999999999999,0.33183333333333337,0.15,0.5920000000000001,0.3923333333333333,0.44016666666666665,0.6395,0.24,0.41183333333333333,0.0,0.4593333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.5303333333333333,0.24,0.0,0.0,0.03,25.147666666666666,66.62766666666667,0.0,26.298333333333336,62.41233333333333,0.0,27.553833333333333,75.28850000000001,5.983333333333333,24.921833333333332,74.84133333333332,0.0,25.8,92.0
2019-08-06 06:00:00,0.0,1.4483333333333333,0.7885,0.14766666666666667,1.0998333333333334,0.807,0.9185,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.6956666666666667,0.2876666666666667,0.0,0.0,0.03,25.19633333333333,68.00833333333334,17.75,26.673333333333336,62.28033333333334,0.0,27.4635,75.35183333333333,6.616666666666666,24.96516666666667,74.81566666666666,0.0,25.6,92.0
2019-08-06 07:00:00,0.0,3.9223333333333334,1.7683333333333333,0.14583333333333334,1.0941666666666667,0.806,0.9299999999999999,0.0,0.23966666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605,0.18083333333333335,0.9873333333333333,0.4126666666666667,0.0,0.29516666666666663,0.03,26.025,68.60883333333332,60.15,26.454666666666665,62.559,2.966666666666667,27.400333333333332,74.72233333333334,2.0,25.090333333333334,74.50116666666666,7.6,26.1,90.0
2019-08-06 08:00:00,32.713499999999996,7.077999999999999,3.0003333333333333,21.373833333333334,1.1146666666666667,0.8391666666666666,0.9638333333333333,0.0,0.23933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9143333333333332,0.3288333333333333,1.099,0.4056666666666667,9.264333333333333,1.5065,0.03,22.6215,59.086999999999996,72.13333333333334,22.6225,70.47183333333334,29.916666666666668,26.12816666666667,62.559999999999995,4.1,20.412666666666667,71.92283333333333,38.18333333333333,26.6,89.0
2019-08-06 09:00:00,27.153333333333332,7.166166666666666,2.955833333333333,22.600833333333334,1.1408333333333334,0.8616666666666667,0.9908333333333333,0.0,0.23783333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0065,0.43233333333333335,0.9353333333333333,0.38999999999999996,9.414,1.535,0.03,20.699166666666667,62.774,76.55,21.297166666666666,71.68350000000001,42.85,25.330499999999997,58.18966666666667,5.616666666666666,17.846666666666668,73.64866666666667,39.266666666666666,27.5,84.0
2019-08-06 10:00:00,24.496833333333335,7.5115,3.272666666666667,23.1165,0.9025,0.633,0.7291666666666666,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.365,0.9445,0.38966666666666666,7.845166666666667,1.5661666666666667,0.028833333333333332,20.682666666666666,63.114000000000004,78.51666666666667,21.267833333333332,72.76933333333334,48.2,25.381500000000003,58.39633333333334,6.283333333333333,17.946,77.9535,41.266666666666666,29.6,72.0
2019-08-06 11:00:00,29.25883333333333,7.542666666666666,3.3605,23.772333333333332,1.0939999999999999,0.815,0.9278333333333333,0.8025,0.23866666666666667,0.5245,0.0,0.596,0.0,0.0,0.0,0.0,0.0,1.7706666666666666,0.365,0.887,0.49516666666666664,8.222333333333333,1.58,0.029,20.938166666666667,63.65866666666667,79.66666666666667,21.221666666666668,73.30766666666666,46.5,25.398333333333333,58.17616666666667,6.333333333333333,17.998,78.73716666666665,42.43333333333333,30.7,66.0
2019-08-06 12:00:00,26.535833333333333,7.733833333333333,3.3081666666666667,23.780333333333335,1.2256666666666667,0.9414999999999999,1.0645,1.3845,0.24,0.9678333333333333,0.0,1.0903333333333334,0.0,0.0,0.0,0.0,0.0,1.6228333333333333,0.3325,0.9581666666666666,0.5088333333333334,7.316666666666666,1.6186666666666667,0.03,20.556833333333334,63.324333333333335,77.95,20.755666666666666,72.35833333333333,44.983333333333334,25.144333333333336,57.634,7.283333333333333,17.871,79.31483333333334,43.3,31.7,61.0
2019-08-06 13:00:00,27.619833333333332,7.563,3.4046666666666665,24.1545,1.2203333333333333,0.9433333333333332,1.0653333333333335,1.3775,0.2316666666666667,0.975,0.0,1.0936666666666668,0.0,0.0,0.0,0.0,0.0,1.7951666666666666,0.4425,0.968,0.38999999999999996,7.107666666666667,1.5743333333333334,0.03,20.7755,63.61866666666666,74.86666666666666,20.765,73.10716666666667,44.68333333333333,25.137999999999998,58.147166666666664,5.45,18.07633333333333,79.92616666666666,41.25,31.5,61.0
